ticker,entry_time,exit_time,entry_price,exit_price,highest_price,pnl
NVTK,2024-12-27 06:00:00+00:00,2025-01-03 07:00:00+00:00,949.8,983.8,1017.0,461.56252814668363
VTBR,2025-01-17 13:00:00+00:00,2025-01-20 09:00:00+00:00,86.86,86.35,88.93,-112.2500007954893
VTBR,2025-01-20 13:00:00+00:00,2025-01-23 06:00:00+00:00,87.58,86.0,88.0,-344.49097965431486
SNGS,2025-01-20 15:00:00+00:00,2025-01-25 13:00:00+00:00,26.67,28.385,29.015,982.3286354417926
PLZL,2025-01-22 19:00:00+00:00,2025-01-26 15:00:00+00:00,1601.0,1712.2,1726.8,848.826906927853
PLZL,2025-01-27 06:00:00+00:00,2025-01-27 16:00:00+00:00,1722.2,1662.2,1722.2,-675.6218348905295
PLZL,2025-01-28 03:00:00+00:00,2025-01-29 11:00:00+00:00,1695.0,1691.8,1723.0,-36.356293790513895
NVTK,2025-01-31 10:00:00+00:00,2025-02-03 04:00:00+00:00,1089.0,1077.2,1089.0,-208.5880593931844
NVTK,2025-02-11 18:00:00+00:00,2025-02-14 10:00:00+00:00,1162.8,1224.8,1287.8,1024.1882531687575
MOEX,2025-02-13 04:00:00+00:00,2025-02-14 10:00:00+00:00,232.68,230.61,243.41,-136.70814845387403
PLZL,2025-02-13 06:00:00+00:00,2025-02-14 10:00:00+00:00,1974.8,1898.2,1974.8,-476.8466644630869
ALRS,2025-02-14 16:00:00+00:00,2025-02-18 08:00:00+00:00,61.26,61.43,64.25,53.532550952955056
SBER,2025-02-15 00:00:00+00:00,2025-02-18 08:00:00+00:00,310.3,314.15,319.99,191.47626660810815
VTBR,2025-02-17 07:00:00+00:00,2025-02-18 15:00:00+00:00,92.3,92.82,99.73,69.55488336974116
MOEX,2025-02-18 09:00:00+00:00,2025-02-19 08:00:00+00:00,237.58,234.19,240.27,-240.7218993387073
NVTK,2025-02-18 10:00:00+00:00,2025-02-19 08:00:00+00:00,1268.2,1244.8,1284.4,-249.0255321053698
MOEX,2025-02-19 11:00:00+00:00,2025-02-21 09:00:00+00:00,237.36,236.85,240.5,-41.37320304020013
CHMF,2025-02-24 20:00:00+00:00,2025-02-26 03:00:00+00:00,1442.2,1417.8,1448.0,-273.51294754966625
NVTK,2025-02-20 17:00:00+00:00,2025-02-26 07:00:00+00:00,1307.4,1321.6,1347.0,167.31171560430147
CHMF,2025-02-26 04:00:00+00:00,2025-02-26 10:00:00+00:00,1429.6,1374.0,1429.6,-626.6164390626258
VTBR,2025-04-21 12:00:00+00:00,2025-04-23 07:00:00+00:00,84.67,83.97,87.18,-157.91326425611274
NVTK,2025-04-22 08:00:00+00:00,2025-04-23 07:00:00+00:00,1236.8,1210.4,1253.6,-326.17041640409826
